,time,latitude,longitude,down,heading,x,y,z
514,15999883000,40.44019964254603,-79.9424189668176,261.14805641319947,-104.18850362363456,157.56268419759903,-165.16593215311704,261.1439692823746
515,15999933000,40.44019942887423,-79.94242045301388,261.1396797982366,-103.69145262622276,157.43658600193208,-165.18966233950414,261.1355951597192
516,15999950000,40.440199224563976,-79.94242194607725,261.1314016656076,-103.18490004438468,157.30990513974552,-165.2123529608501,261.1273195605256
517,15999983000,40.44019903388856,-79.94242344536666,261.1233838642216,-102.68255658813503,157.18269599247583,-165.23352948022205,261.11930433952296
518,15999983000,40.44019903388856,-79.94242344536666,261.1233838642216,-102.68255658813503,157.18269599247583,-165.23352948022205,261.11930433952296
519,16000017000,40.44019885241879,-79.94242494944244,261.11473839282854,-102.15881710056806,157.0550807016775,-165.25368372490942,261.1106614846818
520,16999050000,40.44019868086473,-79.9424264602298,261.1056170254723,-101.6274340434652,156.92689592277,-165.27273684961227,261.10154277237757
521,16999083000,40.44019851988282,-79.94242797755743,261.09682903207437,-101.09364367904882,156.79815620831658,-165.2906159806967,261.09275747660365
522,16999100000,40.44019836935655,-79.9424295010625,261.08849017987274,-100.53860485497701,156.66889234528665,-165.30733405778204,261.0844213614171
523,16999150000,40.44019822990521,-79.9424310302911,261.0796826070157,-99.98254489384051,156.53914282539358,-165.3228222851666,261.07561656814266
524,16999167000,40.44019810066467,-79.94243256412032,261.07061333127064,-99.44880841348417,156.40900292759125,-165.33717662648706,261.0665501064435
525,16999200000,40.44019798165504,-79.9424341038237,261.06195080143385,-98.90814256173901,156.2783646150847,-165.35039486732805,261.05789043134575
526,16999250000,40.44019787373189,-79.94243564999502,261.05335611914154,-98.35138638481988,156.14717749648278,-165.3623819925254,261.0492986475614
527,16999267000,40.440197776204876,-79.94243720069035,261.0442224281039,-97.79186533883288,156.01560649480405,-165.37321464152447,261.0401678891668
528,16999317000,40.440197700934355,-79.94243876233045,261.03479420879415,-97.23141670225458,155.88310680821752,-165.3815757688667,261.0307426866054
