,time,latitude,longitude,down,heading,x,y,z
3361,314000070000,40.44027410912558,-79.94216528996633,261.30885978290826,72.16871485968333,-156.98771794765383,-39.318244619690084,261.30885978290826
3362,314000175000,40.4402741441258,-79.9421653108609,261.3065195097337,72.20997035948632,-156.98382903825257,-39.3178505653047,261.3065195097337
3363,314000270000,40.440274179401236,-79.9421653458794,261.3041629204089,72.2423062092744,-156.97990954949103,-39.3171901455651,261.3041629204089
3364,314000370000,40.44027421611833,-79.94216538444807,261.3018287419205,72.28382713953756,-156.97582987613532,-39.31646277289224,261.3018287419205
3365,314000470000,40.44027422210244,-79.94216536518798,261.30581545200255,72.32133022184561,-156.97516497617184,-39.316826002105834,261.30581545200255
3366,314000570000,40.4402742249077,-79.94216533059976,261.31049666225846,72.38555836745843,-156.97485328112265,-39.31747830677812,261.31049666225846
3367,314999670000,40.44027423690417,-79.94216526924728,261.31527506976335,72.42568248615264,-156.97352034059995,-39.3186353637727,261.31527506976335
3368,314999670000,40.44027423690417,-79.94216526924728,261.31527506976335,72.42568248615264,-156.97352034059995,-39.3186353637727,261.31527506976335
3369,314999775000,40.44027425787351,-79.94216516117378,261.320123045942,72.51298107691507,-156.9711904164559,-39.32067354266803,261.320123045942
3370,314999870000,40.44027429379225,-79.94216500466331,261.32502781484436,72.5877863992226,-156.9671994495351,-39.3236252079552,261.32502781484436
3371,314999970000,40.44027430704091,-79.94216481149714,261.32709818924894,72.79700322911242,-156.96572737777842,-39.32726817865504,261.32709818924894
3372,315000070000,40.44027433137755,-79.94216457333485,261.3288320749213,72.98902997313878,-156.9630233090466,-39.33175975392104,261.3288320749213
3373,315000170000,40.44027435953647,-79.94216430348749,261.3302723115543,73.24503141390001,-156.95989454381984,-39.336848902719815,261.3302723115543
3374,315000275000,40.44027439383895,-79.9421640159667,261.3319372100317,73.46868127101787,-156.95608316086947,-39.34227137864468,261.3319372100317
3375,315000370000,40.44027443362944,-79.9421636875488,261.33347415734136,73.77607434085422,-156.95166199943748,-39.34846517250558,261.33347415734136
3376,315000470000,40.44027447763993,-79.94216334455388,261.3333625153143,73.9630384448282,-156.94677194974406,-39.35493390685171,261.3333625153143
3377,315000570000,40.44027452977751,-79.94216297979824,261.3334470792401,74.08833246964082,-156.94097889113857,-39.36181306699513,261.3334470792401
3378,315999670000,40.44027458025335,-79.94216258706611,261.33341910126444,74.35891597376768,-156.93537047003628,-39.36921988640481,261.33341910126444
3379,315999775000,40.44027463826764,-79.94216214921995,261.33302084751153,74.64384345345883,-156.92892444462586,-39.37747758360063,261.33302084751153
3380,315999870000,40.440274712454446,-79.94216164186157,261.3334468214646,74.95177012614663,-156.92068147422353,-39.387046320984105,261.3334468214646
3381,315999970000,40.440274735895066,-79.94216103750122,261.3380905396035,75.40136843477326,-156.9180769634823,-39.39844458119234,261.3380905396035
3382,316000070000,40.44027476765929,-79.94216036637047,261.34359942628777,75.81422605712913,-156.91454760887257,-39.41110222749042,261.34359942628777
3383,316000170000,40.4402748013667,-79.94215965336201,261.34921915846746,76.23959655501206,-156.9108023450156,-39.42454980303119,261.34921915846746
3384,316000270000,40.44027483751605,-79.94215892805383,261.3548807450381,76.61399680623038,-156.90678575437042,-39.43822946965405,261.3548807450381
3385,316000375000,40.44027487319872,-79.94215819457729,261.36006771101836,77.06262369804705,-156.90282101750321,-39.452063312656506,261.36006771101836
3386,316000470000,40.44027483047195,-79.94215752298255,261.3712981257351,77.5675200220954,-156.9075684314115,-39.46473012802373,261.3712981257351
3387,316000570000,40.44027476807133,-79.94215684753456,261.38280067253515,78.04093021825089,-156.91450182628142,-39.477469718593476,261.38280067253515
3388,316999670000,40.440274701207024,-79.94215624984827,261.3946806146971,78.37833763462737,-156.92193118659034,-39.48874273303915,261.3946806146971
3389,316999770000,40.44027461852835,-79.94215574566016,261.4053654789901,78.69941862888385,-156.93111769680087,-39.4982523306961,261.4053654789901
3390,316999875000,40.440274530913996,-79.94215532206091,261.4159530469047,78.99374563258539,-156.94085261518882,-39.50624196796954,261.4159530469047
3391,316999975000,40.440274307689236,-79.94215478818704,261.40707231108314,79.4191800307106,-156.96565534144892,-39.516311585295014,261.40707231108314
3392,317000070000,40.440274067539306,-79.94215426322424,261.3957824060275,79.86130193746095,-156.99233864033937,-39.526213188043904,261.3957824060275
3393,317000170000,40.4402738231343,-79.94215379533009,261.38391955381877,80.286708588822,-157.01949472520903,-39.53503843955396,261.38391955381877
3394,317000270000,40.44027357599617,-79.94215337524588,261.37283743541917,80.67845959086743,-157.0469544894243,-39.54296195784606,261.37283743541917
3395,317000370000,40.44027332396263,-79.94215301409535,261.3612074247293,81.10560106091147,-157.07495818856023,-39.549773915410825,261.3612074247293
3396,317000370000,40.44027332396263,-79.94215301409535,261.3612074247293,81.10560106091147,-157.07495818856023,-39.549773915410825,261.3612074247293
3397,317000475000,40.44027319247809,-79.94215277288419,261.35780277126753,81.32429724763061,-157.08956756734958,-39.55432361386054,261.35780277126753
3398,317000575000,40.440273078667595,-79.94215258907823,261.3551462379991,81.44313163531955,-157.10221316508995,-39.55779055000315,261.3551462379991
3399,317999670000,40.440272959119156,-79.94215244396796,261.3529328972458,81.59493310048944,-157.1154963116628,-39.56052761603321,261.3529328972458
3400,317999770000,40.44027283829174,-79.9421523549662,261.350340591438,81.73692288417588,-157.12892156664068,-39.56220636702163,261.350340591438
3401,317999870000,40.440272713464545,-79.9421523208096,261.34784519732034,81.85396160361022,-157.1427912411811,-39.56285062918707,261.34784519732034
3402,317999975000,40.44027255654437,-79.94215238828414,261.3447430191055,81.89743142305844,-157.16022679850727,-39.561577923795994,261.3447430191055
3403,318000075000,40.440272398007686,-79.94215245465108,261.3419120575759,81.95043693710349,-157.17784196822558,-39.56032611109271,261.3419120575759
3404,318000170000,40.44027224023556,-79.94215250747037,261.3389811568991,81.99335799591475,-157.19537218711832,-39.559329834728025,261.3389811568991
3405,318000270000,40.44027208203927,-79.94215254169112,261.3360223598086,82.09389542260304,-157.21294953468458,-39.558684364005465,261.3360223598086
3406,318000370000,40.44027192695522,-79.94215255807457,261.3334706166319,82.13346054880803,-157.23018107881603,-39.55837533989265,261.3334706166319
3407,318000470000,40.440271845120336,-79.94215255453628,261.3278212055837,82.16798969282428,-157.23927383458528,-39.55844207898325,261.3278212055837
3408,318000575000,40.44027176704798,-79.9421525637149,261.3218505534772,82.2103850195716,-157.24794853190116,-39.558268952183084,261.3218505534772
3409,318999670000,40.44027169126055,-79.94215258319998,261.3158068657237,82.19552903208728,-157.25636934939342,-39.55790142528306,261.3158068657237
3410,318999770000,40.44027161301189,-79.94215260956689,261.30979485769114,82.22289478874657,-157.26506363635292,-39.55740409391166,261.30979485769114
3411,318999870000,40.440271536300784,-79.9421526384041,261.30380559182834,82.21217109588132,-157.27358708374584,-39.55686016800328,261.30380559182834
3412,318999970000,40.44027148211678,-79.94215265230301,261.29710988731176,82.22831242029793,-157.27960752290483,-39.55659800749832,261.29710988731176
3413,319000065000,40.44027143278687,-79.9421526582385,261.29045525636894,82.23384658321301,-157.28508861803414,-39.55648605262492,261.29045525636894
3414,319000070000,40.44027143278687,-79.9421526582385,261.29045525636894,82.23384658321301,-157.28508861803414,-39.55648605262492,261.29045525636894
3415,319000170000,40.44027138322915,-79.94215265931435,261.28385131779396,82.25393302731726,-157.29059502582837,-39.5564657600628,261.28385131779396
3416,319000270000,40.44027133455496,-79.94215266057886,261.27723635195696,82.26693253229423,-157.2960032643469,-39.556441908944805,261.27723635195696
3417,319000365000,40.440271285449704,-79.94215266077431,261.27059608933644,82.28464547714486,-157.30145939813488,-39.55643822226352,261.27059608933644
3418,319000465000,40.44027128698253,-79.9421526262037,261.2689422729929,82.31120932805763,-157.3012890843694,-39.55709029134674,261.2689422729929
3419,319000565000,40.44027129554703,-79.9421525829019,261.26797362828415,82.33381134336756,-157.30033747438281,-39.55790704778534,261.26797362828415
3420,319999670000,40.44027130410295,-79.94215254139326,261.26701783799825,82.3654948953541,-157.29938681731204,-39.558689982221736,261.26701783799825
3421,319999770000,40.4402713132619,-79.94215250530065,261.26607814736747,82.38382194533733,-157.29836915691777,-39.55937075980488,261.26607814736747
3422,319999865000,40.44027132224545,-79.94215248049618,261.26513565438506,82.40473454242806,-157.29737098590175,-39.55983862131805,261.26513565438506
3423,319999965000,40.44027132662452,-79.94215247197461,261.2633061964362,82.41453103139655,-157.2968844233022,-39.55999935496213,261.2633061964362
3424,320000065000,40.44027133018916,-79.94215247268515,261.2614669805879,82.4181181344576,-157.296488352177,-39.55998595271788,261.2614669805879
3425,320000070000,40.44027133018916,-79.94215247268515,261.2614669805879,82.4181181344576,-157.296488352177,-39.55998595271788,261.2614669805879
3426,320000170000,40.440271334091484,-79.94215247745542,261.2596146186705,82.41893634663589,-157.29605476127492,-39.55989597594984,261.2596146186705
3427,320000270000,40.440271338351245,-79.94215247659268,261.2578708338487,82.42624403946967,-157.29558145502108,-39.55991224895393,261.2578708338487
3428,320000365000,40.44027134390356,-79.94215247848882,261.25597945915587,82.4053511684939,-157.29496453164464,-39.55987648399514,261.25597945915587
3429,320000370000,40.44027134390356,-79.94215247848882,261.25597945915587,82.4053511684939,-157.29496453164464,-39.55987648399514,261.25597945915587
3430,320000465000,40.440271349124146,-79.94215251969841,261.254748208941,82.42239526964019,-157.294384467241,-39.55909918972026,261.254748208941
3431,320000565000,40.440271356181995,-79.94215257495753,261.2534830911476,82.40459522365944,-157.29360026253454,-39.55805689407212,261.2534830911476
3432,320999665000,40.440271363048915,-79.94215264147451,261.25214327883475,82.40036330568174,-157.29283727224447,-39.55680225407011,261.25214327883475
3433,320999670000,40.440271363048915,-79.94215264147451,261.25214327883475,82.40036330568174,-157.29283727224447,-39.55680225407011,261.25214327883475
3434,320999770000,40.44027137133528,-79.94215271628661,261.2508381993903,82.39500586074782,-157.29191656609905,-39.555391152848784,261.2508381993903
3435,320999865000,40.44027137879916,-79.94215279647543,261.24953313619886,82.36832609620645,-157.29108724671093,-39.553878637913634,261.24953313619886
3436,320999965000,40.4402714179587,-79.94215285503064,261.24869755393263,82.36148769434627,-157.28673619130257,-39.552774175023934,261.24869755393263
